,datadate,tic,prccd,prcod,prchd,prcld,cshtrd,
0,20180102,EURUSD,1.20583,1.20124,1.208125,1.200305,160870,
1,20180103,EURUSD,1.201435,1.20583,1.206625,1.200115,169113,
2,20180104,EURUSD,1.20684,1.201435,1.208905,1.200435,182656,
3,20180105,EURUSD,1.203125,1.20684,1.208305,1.20206,186291,
4,20180107,EURUSD,1.20295,1.203125,1.20326,1.201945,346,
5,20180108,EURUSD,1.19672,1.20295,1.205235,1.19557,158383,
6,20180109,EURUSD,1.193685,1.19672,1.19757,1.191545,184075,
7,20180110,EURUSD,1.1948,1.193685,1.20181,1.19232,282566,
8,20180111,EURUSD,1.20318,1.1948,1.205895,1.192925,279747,
9,20180112,EURUSD,1.220595,1.20318,1.22192,1.20309,337231,
10,20180114,EURUSD,1.21947,1.220595,1.22034,1.219045,247,
11,20180115,EURUSD,1.22635,1.21947,1.229665,1.218755,248216,
12,20180116,EURUSD,1.225975,1.22635,1.228345,1.21952,305722,
13,20180117,EURUSD,1.218555,1.225975,1.23232,1.217725,391335,
14,20180118,EURUSD,1.223815,1.218555,1.22649,1.21652,315307,
15,20180119,EURUSD,1.221685,1.223815,1.22955,1.22146,316557,
16,20180121,EURUSD,1.22706,1.221685,1.227445,1.221685,961,
17,20180122,EURUSD,1.226195,1.22706,1.227315,1.22139,242829,
18,20180123,EURUSD,1.229845,1.226195,1.230625,1.2223,298747,
19,20180124,EURUSD,1.240795,1.229845,1.241495,1.229125,383669,
20,20180125,EURUSD,1.239555,1.240795,1.2538,1.2364,671387,
21,20180126,EURUSD,1.243075,1.239555,1.249375,1.236995,469071,
23,20180129,EURUSD,1.238245,1.242655,1.24323,1.23367,366968,
24,20180130,EURUSD,1.240245,1.238245,1.245405,1.233475,371869,
25,20180131,EURUSD,1.241345,1.240245,1.24749,1.238675,446712,
26,20180201,EURUSD,1.251035,1.241345,1.25229,1.23852,350810,
27,20180202,EURUSD,1.245725,1.251035,1.251815,1.240905,393431,
28,20180204,EURUSD,1.243555,1.245725,1.243915,1.24265,505,
29,20180205,EURUSD,1.236725,1.243555,1.24749,1.23626,397622,
30,20180206,EURUSD,1.23774,1.236725,1.243465,1.23138,534839,
31,20180207,EURUSD,1.226435,1.23774,1.24062,1.224565,341066,
32,20180208,EURUSD,1.22472,1.226435,1.229505,1.22121,459898,
33,20180209,EURUSD,1.22523,1.22472,1.22873,1.220565,451287,
35,20180212,EURUSD,1.229185,1.22492,1.22977,1.2235,245522,
36,20180213,EURUSD,1.235145,1.229185,1.237115,1.22845,266700,
37,20180214,EURUSD,1.24506,1.235145,1.246515,1.22759,389151,
38,20180215,EURUSD,1.25065,1.24506,1.25104,1.244805,308279,
39,20180216,EURUSD,1.241105,1.25065,1.25556,1.23933,319323,
40,20180218,EURUSD,1.24025,1.241105,1.240665,1.239835,89,
41,20180219,EURUSD,1.24073,1.24025,1.24353,1.236905,184037,
42,20180220,EURUSD,1.23372,1.24073,1.24124,1.231985,265067,
43,20180221,EURUSD,1.22836,1.23372,1.236,1.228105,323634,
44,20180222,EURUSD,1.23307,1.22836,1.23522,1.225945,286551,
45,20180223,EURUSD,1.229595,1.23307,1.233755,1.22797,224665,
47,20180226,EURUSD,1.23173,1.22939,1.235525,1.22777,224357,
48,20180227,EURUSD,1.22323,1.23173,1.23464,1.222145,308033,
49,20180228,EURUSD,1.219415,1.22323,1.224175,1.21878,276401,
50,20180301,EURUSD,1.226705,1.219415,1.22732,1.215445,309057,
51,20180302,EURUSD,1.231865,1.226705,1.23359,1.22515,277254,
53,20180305,EURUSD,1.233595,1.233195,1.236545,1.226905,262715,
54,20180306,EURUSD,1.24034,1.233595,1.24203,1.232805,255011,
55,20180307,EURUSD,1.24113,1.24034,1.24451,1.238485,269112,
56,20180308,EURUSD,1.23116,1.24113,1.24462,1.229795,364837,
57,20180309,EURUSD,1.230595,1.23116,1.23343,1.22731,294752,
59,20180312,EURUSD,1.23339,1.231325,1.23456,1.22904,182792,
60,20180313,EURUSD,1.238925,1.23339,1.240745,1.231455,300936,
61,20180314,EURUSD,1.236745,1.238925,1.24127,1.234715,266645,
62,20180315,EURUSD,1.23044,1.236745,1.238375,1.23003,265517,
63,20180316,EURUSD,1.228915,1.23044,1.233635,1.22601,243480,
64,20180318,EURUSD,1.228295,1.228915,1.229475,1.228205,210,
65,20180319,EURUSD,1.23353,1.228295,1.23588,1.22581,288775,
66,20180320,EURUSD,1.224145,1.23353,1.235465,1.223955,267786,
67,20180321,EURUSD,1.233795,1.224145,1.235,1.224085,351727,
68,20180322,EURUSD,1.23021,1.233795,1.23885,1.228525,291902,
69,20180323,EURUSD,1.235355,1.23021,1.23735,1.23005,255878,
70,20180325,EURUSD,1.235195,1.235355,1.2354,1.234205,304,
71,20180326,EURUSD,1.24439,1.235195,1.246165,1.23506,218722,
72,20180327,EURUSD,1.24026,1.24439,1.24764,1.237225,254722,
73,20180328,EURUSD,1.23087,1.24026,1.242165,1.230005,257082,
74,20180329,EURUSD,1.23005,1.23087,1.233585,1.22839,235461,
75,20180330,EURUSD,1.232335,1.23005,1.233095,1.228995,70433,
77,20180402,EURUSD,1.23021,1.23221,1.2345,1.228195,119334,
78,20180403,EURUSD,1.22705,1.23021,1.233615,1.225365,220745,
79,20180404,EURUSD,1.227815,1.22705,1.23147,1.225695,201005,
80,20180405,EURUSD,1.224,1.227815,1.229025,1.221835,198965,
81,20180406,EURUSD,1.228115,1.224,1.229085,1.22157,302810,
82,20180408,EURUSD,1.228615,1.228115,1.228845,1.22767,173,
83,20180409,EURUSD,1.232065,1.228615,1.233075,1.226035,223255,
84,20180410,EURUSD,1.235575,1.232065,1.23777,1.23028,278018,
85,20180411,EURUSD,1.23672,1.235575,1.239735,1.2347,230501,
86,20180412,EURUSD,1.232665,1.23672,1.237975,1.22993,240716,
87,20180413,EURUSD,1.233125,1.232665,1.2346,1.23071,193466,
89,20180416,EURUSD,1.23795,1.233425,1.239465,1.23229,175852,
90,20180417,EURUSD,1.236975,1.23795,1.241375,1.233615,184726,
91,20180418,EURUSD,1.237375,1.236975,1.239725,1.23417,216995,
92,20180419,EURUSD,1.23455,1.237375,1.24002,1.23292,238867,
93,20180420,EURUSD,1.228755,1.23455,1.235295,1.22496,216666,
95,20180423,EURUSD,1.22088,1.227615,1.228945,1.219745,198430,
96,20180424,EURUSD,1.223265,1.22088,1.22448,1.218175,226050,
97,20180425,EURUSD,1.21609,1.223265,1.223885,1.21601,208909,
98,20180426,EURUSD,1.21033,1.21609,1.221005,1.20963,312404,
99,20180427,EURUSD,1.212905,1.21033,1.213345,1.205545,272591,
101,20180430,EURUSD,1.207765,1.21237,1.21388,1.20643,254363,
102,20180501,EURUSD,1.199205,1.207765,1.208425,1.198115,223318,
103,20180502,EURUSD,1.195105,1.199205,1.20317,1.19378,363866,
104,20180503,EURUSD,1.198865,1.195105,1.20089,1.19477,330567,
105,20180504,EURUSD,1.196185,1.198865,1.199555,1.19104,279751,
107,20180507,EURUSD,1.19221,1.19635,1.197805,1.189745,209858,
108,20180508,EURUSD,1.186455,1.19221,1.193945,1.183795,324133,
109,20180509,EURUSD,1.18506,1.186455,1.1897,1.182255,303468,
110,20180510,EURUSD,1.19159,1.18506,1.19467,1.1843,387118,
111,20180511,EURUSD,1.194105,1.19159,1.1968,1.18912,268902,
113,20180514,EURUSD,1.192695,1.19393,1.199615,1.1926,224055,
114,20180515,EURUSD,1.18377,1.192695,1.193855,1.182025,311880,
115,20180516,EURUSD,1.180715,1.18377,1.18541,1.176315,398017,
116,20180517,EURUSD,1.179415,1.180715,1.18375,1.177635,307611,
117,20180518,EURUSD,1.177135,1.179415,1.182215,1.17497,212112,
118,20180520,EURUSD,1.17706,1.177135,1.177975,1.176605,168,
119,20180521,EURUSD,1.17915,1.17706,1.17956,1.171665,193762,
120,20180522,EURUSD,1.1779,1.17915,1.18298,1.17565,275263,
121,20180523,EURUSD,1.169615,1.1779,1.17897,1.16758,376471,
122,20180524,EURUSD,1.171935,1.169615,1.175045,1.169085,320235,
123,20180525,EURUSD,1.164985,1.171935,1.173365,1.164595,313961,
125,20180528,EURUSD,1.162455,1.16867,1.172845,1.160735,243549,
126,20180529,EURUSD,1.15395,1.162455,1.163965,1.151015,418712,
127,20180530,EURUSD,1.166355,1.15395,1.16763,1.15187,431775,
128,20180531,EURUSD,1.16926,1.166355,1.17243,1.16411,380182,
129,20180601,EURUSD,1.165925,1.16926,1.171805,1.161775,309563,
130,20180603,EURUSD,1.16614,1.165925,1.16633,1.165725,33,
131,20180604,EURUSD,1.169855,1.16614,1.17446,1.165855,236522,
132,20180605,EURUSD,1.17175,1.169855,1.17322,1.16525,277473,
133,20180606,EURUSD,1.177395,1.17175,1.17957,1.17121,258361,
134,20180607,EURUSD,1.17996,1.177395,1.18399,1.17729,282240,
135,20180608,EURUSD,1.176865,1.17996,1.181035,1.172715,267043,
137,20180611,EURUSD,1.178355,1.177465,1.18206,1.17712,198776,
138,20180612,EURUSD,1.17455,1.178355,1.18091,1.1733,247235,
139,20180613,EURUSD,1.17915,1.17455,1.1801,1.172525,260773,
140,20180614,EURUSD,1.156845,1.17915,1.18523,1.156275,448358,
141,20180615,EURUSD,1.160775,1.156845,1.16271,1.15432,364869,
143,20180618,EURUSD,1.162275,1.15885,1.162435,1.15653,217078,
144,20180619,EURUSD,1.15895,1.162275,1.164455,1.153055,341704,
145,20180620,EURUSD,1.157135,1.15895,1.16,1.153655,286002,
146,20180621,EURUSD,1.160335,1.157135,1.163365,1.15081,385180,
147,20180622,EURUSD,1.16572,1.160335,1.167505,1.15994,314288,
149,20180625,EURUSD,1.170385,1.16644,1.17131,1.16284,282390,
150,20180626,EURUSD,1.164775,1.170385,1.17206,1.16348,349440,
151,20180627,EURUSD,1.155435,1.164775,1.167225,1.15405,432798,
152,20180628,EURUSD,1.156805,1.155435,1.16008,1.15272,425140,
153,20180629,EURUSD,1.16838,1.156805,1.16905,1.155825,474012,
155,20180702,EURUSD,1.163915,1.16777,1.16923,1.15913,314878,
156,20180703,EURUSD,1.165865,1.163915,1.167315,1.16205,327660,
157,20180704,EURUSD,1.165655,1.165865,1.16818,1.16306,204408,
158,20180705,EURUSD,1.16908,1.165655,1.17203,1.16498,323796,
159,20180706,EURUSD,1.174385,1.16908,1.176735,1.168,303581,
161,20180709,EURUSD,1.17508,1.17424,1.17908,1.17326,284728,
162,20180710,EURUSD,1.17445,1.17508,1.17627,1.169035,279743,
163,20180711,EURUSD,1.16731,1.17445,1.175835,1.16654,411488,
164,20180712,EURUSD,1.167095,1.16731,1.169575,1.16496,353580,
165,20180713,EURUSD,1.168545,1.167095,1.16869,1.1613,315070,
167,20180716,EURUSD,1.171135,1.168975,1.17255,1.167565,269690,
168,20180717,EURUSD,1.16611,1.171135,1.17447,1.16493,315506,
169,20180718,EURUSD,1.163865,1.16611,1.166495,1.160195,305987,
170,20180719,EURUSD,1.164175,1.163865,1.16785,1.157495,402419,
171,20180720,EURUSD,1.17213,1.164175,1.173895,1.162625,445563,
172,20180722,EURUSD,1.172665,1.17213,1.17357,1.17213,339,
173,20180723,EURUSD,1.16923,1.172665,1.17507,1.16837,286878,
174,20180724,EURUSD,1.168405,1.16923,1.17169,1.16546,317319,
175,20180725,EURUSD,1.17281,1.168405,1.17387,1.16639,322876,
176,20180726,EURUSD,1.16429,1.17281,1.17436,1.16402,328556,
177,20180727,EURUSD,1.16557,1.16429,1.16644,1.162045,273934,
179,20180730,EURUSD,1.17058,1.165745,1.17188,1.16479,213562,
180,20180731,EURUSD,1.16913,1.17058,1.17464,1.16832,295659,
181,20180801,EURUSD,1.16596,1.16913,1.169975,1.165725,261856,
182,20180802,EURUSD,1.15843,1.16596,1.16676,1.158205,270847,
183,20180803,EURUSD,1.156825,1.15843,1.16107,1.15601,290756,
185,20180806,EURUSD,1.15536,1.157025,1.15718,1.153005,203314,
186,20180807,EURUSD,1.159865,1.15536,1.16082,1.155055,215611,
187,20180808,EURUSD,1.16099,1.159865,1.162825,1.15732,198707,
188,20180809,EURUSD,1.152685,1.16099,1.16195,1.152585,257337,
189,20180810,EURUSD,1.141305,1.152685,1.153655,1.138805,521199,
190,20180812,EURUSD,1.1372,1.141305,1.139145,1.136775,1299,
191,20180813,EURUSD,1.141025,1.1372,1.14329,1.13651,443232,
192,20180814,EURUSD,1.134425,1.141025,1.14294,1.13301,369184,
193,20180815,EURUSD,1.134535,1.134425,1.135495,1.1301,381417,
194,20180816,EURUSD,1.137695,1.134535,1.140915,1.13358,401109,
195,20180817,EURUSD,1.143885,1.137695,1.14449,1.13664,332495,
196,20180819,EURUSD,1.14395,1.143885,1.14402,1.14342,94,
197,20180820,EURUSD,1.1482,1.14395,1.1485,1.13944,264536,
198,20180821,EURUSD,1.15706,1.1482,1.16013,1.14808,381426,
199,20180822,EURUSD,1.1597,1.15706,1.16229,1.15532,338656,
200,20180823,EURUSD,1.15392,1.1597,1.159975,1.15298,325870,
201,20180824,EURUSD,1.162155,1.15392,1.16399,1.153485,349554,
202,20180826,EURUSD,1.161635,1.162155,1.162735,1.16102,259,
203,20180827,EURUSD,1.167765,1.161635,1.16937,1.159455,272125,
204,20180828,EURUSD,1.16944,1.167765,1.17336,1.16625,336792,
205,20180829,EURUSD,1.17074,1.16944,1.170995,1.16518,369190,
206,20180830,EURUSD,1.1671,1.17074,1.171825,1.164155,362704,
207,20180831,EURUSD,1.160285,1.1671,1.169015,1.15846,408191,
209,20180903,EURUSD,1.161985,1.159645,1.16279,1.15889,212165,
210,20180904,EURUSD,1.158165,1.161985,1.162125,1.153015,343527,
211,20180905,EURUSD,1.16299,1.158165,1.16405,1.154245,397169,
212,20180906,EURUSD,1.16233,1.16299,1.16593,1.160545,356426,
213,20180907,EURUSD,1.155335,1.16233,1.16495,1.155055,389010,
214,20180909,EURUSD,1.154875,1.155335,1.15548,1.15481,183,
215,20180910,EURUSD,1.15935,1.154875,1.161635,1.152565,263975,
216,20180911,EURUSD,1.160565,1.15935,1.164425,1.156535,289630,
217,20180912,EURUSD,1.1626,1.160565,1.164975,1.15701,313440,
218,20180913,EURUSD,1.169005,1.1626,1.170105,1.160905,314304,
219,20180914,EURUSD,1.16226,1.169005,1.172165,1.162065,279510,
221,20180917,EURUSD,1.168315,1.162545,1.16982,1.161795,223177,
222,20180918,EURUSD,1.166675,1.168315,1.172455,1.165215,346042,
223,20180919,EURUSD,1.16723,1.166675,1.17149,1.165,305762,
224,20180920,EURUSD,1.1777,1.16723,1.178465,1.16689,359430,
225,20180921,EURUSD,1.17485,1.1777,1.18028,1.17328,322292,
226,20180923,EURUSD,1.17505,1.17485,1.17532,1.17383,505,
227,20180924,EURUSD,1.174775,1.17505,1.181525,1.172415,273456,
228,20180925,EURUSD,1.17667,1.174775,1.17927,1.17309,302287,
229,20180926,EURUSD,1.17393,1.17667,1.179795,1.17259,379408,
